"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
2,-0.4891,0,1,-1,449,NA,0,-1,NA,2,1,0,2,0,0,0
2,-0.4238,0,1,1,729,-0.3751,1,-1,-1,1,0,0,0,0,1,0
2,-1.1856,0,-1,-1,29.5,NA,0,-1,NA,4,0,0,3,0,1,0
2,-0.3356,0,1,-1,177478.4211,NA,0,-1,NA,3,0,0,2,0,1,0
2,-1.0026,1,-1,1,2614708.8,-0.2808,1,-1,-1,2,0,0,2,0,0,0
2,-0.893,0,-1,-1,31513.75,NA,0,-1,NA,2,0,0,2,0,0,0
2,-0.9746,0,-1,-1,7892.9524,NA,0,-1,NA,3,2,0,3,0,0,0
2,-1.4175,0,-1,1,4627,NA,0,-1,NA,1,2,0,1,0,0,0
2,-0.5192,1,1,1,191061.6154,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.1723,1,1,-1,5207746.8077,NA,0,-1,NA,2,0,0,1,0,1,0
2,-0.9335,0,1,-1,666,NA,0,-1,NA,1,1,0,1,0,0,0
2,-0.9352,0,-1,1,9566.32,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.5735,0,1,-1,22641.8,-0.2753,1,-1,-1,1,1,0,1,0,0,0
2,-0.5981,1,1,-1,497733.254,0.55,1,-1,1,1,1,1,0,0,1,1
2,0.3812,0,1,-1,18858.5,NA,0,1,NA,0,0,0,0,0,0,0
2,-0.4792,0,-1,-1,476,-0.2961,1,-1,-1,2,0,0,1,0,0,0
2,-0.9396,0,-1,-1,262,NA,0,-1,NA,0,1,0,0,0,0,0
2,0.2448,1,-1,1,4321,0.4777,1,1,1,0,0,0,0,0,0,0
2,0.0716,1,1,-1,3570,0.7616,1,1,1,2,1,0,1,0,1,0
2,-0.2589,0,1,-1,14484.6667,NA,0,-1,NA,1,0,0,1,0,0,0
2,1.507,1,1,-1,125195.5,0.7638,1,1,1,2,0,0,2,0,0,0
2,1.1781,0,1,-1,15178.8,1.9333,1,1,1,1,2,0,1,0,0,0
2,-0.4715,0,1,-1,6586,NA,0,-1,NA,1,0,0,0,0,1,0
2,-0.465,1,1,-1,28700.6667,-1.401,1,-1,-1,1,0,0,0,0,1,0
2,-1.0673,0,1,-1,5892.75,-0.6096,1,-1,-1,0,1,0,0,0,0,0
