"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
73,-0.7773,0,-1,-1,23801.8055,NA,0,-1,NA,1,0,1,0,1,1,0
72,1.6576,0,1,1,55423.2057,NA,0,1,NA,0,0,0,0,0,0,0
72,1.5782,0,-1,1,41659.7093,1.3973,1,1,1,1,1,0,0,0,0,0
71,-0.5174,1,1,1,21825771.869,0.8175,1,-1,1,1,1,0,0,0,0,0
70,1.6368,0,-1,1,28440.5012,1.4006,1,1,1,0,2,1,0,0,0,1
70,-0.766,1,-1,-1,260909.6105,0.2749,1,-1,1,1,0,0,0,0,1,0
70,-0.5471,0,1,1,42835.7984,0.1576,1,-1,1,0,0,0,0,0,0,0
70,-0.5467,0,-1,1,12418.6667,-0.3838,1,-1,-1,0,0,0,0,0,0,0
69,1.5619,1,1,-1,340662.9877,1.1365,1,1,1,1,0,0,0,0,1,0
69,1.5392,0,-1,1,75609.5,1.3984,1,1,1,0,0,0,0,0,0,0
69,1.4442,0,-1,-1,75609.5,1.3984,1,1,1,0,1,0,0,0,0,0
68,1.5186,0,-1,-1,8725.3646,0.8975,1,1,1,1,3,0,1,0,0,0
68,-0.6993,0,-1,-1,231904,0.3023,1,-1,1,2,1,0,1,0,0,0
67,-0.5941,1,-1,-1,73027.1689,0.3155,1,-1,1,2,0,0,1,0,1,0
65,1.4765,0,-1,1,69678.0647,NA,0,1,NA,1,0,2,1,0,0,1
65,1.4645,0,1,1,108899,2.3433,1,1,1,0,1,0,0,0,0,0
65,-0.6074,0,1,1,39301.3333,-0.306,1,-1,-1,0,0,0,0,0,0,0
65,-0.6426,0,-1,1,24461,0.0327,1,-1,1,0,0,0,0,0,0,0
63,1.5136,0,-1,1,5307.9308,NA,0,1,NA,0,0,0,0,0,0,0
62,1.3716,1,-1,-1,7229150.8923,1.0301,1,1,1,2,1,0,0,0,0,0
62,-0.7217,0,1,-1,2473.3865,-0.351,1,-1,-1,1,1,0,1,0,0,0
61,-0.5606,1,1,1,22540856.1467,NA,0,-1,NA,0,1,0,0,0,0,0
61,1.4559,0,1,-1,866511.7218,NA,0,1,NA,0,1,0,0,0,0,0
61,-0.562,0,1,-1,96.0634,NA,0,-1,NA,1,1,0,1,0,0,0
61,-0.5738,1,1,1,4835423.2362,-0.8113,1,-1,-1,0,1,0,0,0,0,0
60,1.5466,0,-1,1,20212.135,NA,0,1,NA,0,0,1,0,1,0,0
60,-0.5366,0,-1,1,1436,0.2815,1,-1,1,1,0,0,1,0,0,0
59,1.6239,0,-1,1,183723.3669,1.0444,1,1,1,2,2,0,0,0,0,0
59,1.6979,0,-1,1,183723.3669,1.0444,1,1,1,2,2,0,0,0,2,0
59,1.5924,1,1,-1,1230696.8101,0.5424,1,1,1,0,1,1,0,0,0,0
59,-0.573,0,-1,1,24469,0.0327,1,-1,1,0,0,0,0,0,0,0
58,1.487,0,1,1,6747.4861,NA,0,1,NA,0,0,0,0,0,0,0
58,1.6207,0,-1,-1,144087.7231,NA,0,1,NA,0,1,1,0,1,0,0
58,-0.5861,0,-1,1,16509.3707,-0.2096,1,-1,-1,0,0,0,0,0,0,0
58,-0.6698,0,1,1,24457.8837,0.0327,1,-1,1,0,0,0,0,0,0,0
57,-0.5793,1,1,-1,1060081.4196,-0.762,1,-1,-1,0,0,0,0,0,0,0
57,1.584,1,-1,-1,235128.8851,2.1361,1,1,1,0,2,0,0,0,0,0
57,-0.6691,0,-1,1,34251.0383,-1.3287,1,-1,-1,1,0,0,1,0,0,0
57,-0.6566,0,-1,-1,10870,-0.0462,1,-1,-1,0,0,1,0,0,0,1
56,1.4598,1,1,1,311797.8319,1.177,1,1,1,1,2,0,1,0,0,0
56,-0.6763,1,1,1,3010.0955,-0.8475,1,-1,-1,0,1,0,0,0,0,0
55,-0.5467,0,-1,-1,1852.6755,NA,0,-1,NA,0,1,0,0,0,0,0
55,-0.6228,0,1,1,24457.8837,0.0327,1,-1,1,1,1,0,1,0,0,0
55,1.711,0,1,-1,25472,2.3685,1,1,1,1,0,0,0,0,1,0
54,-0.5845,1,1,1,25428.9699,NA,0,-1,NA,1,1,1,0,0,1,1
54,1.5783,0,-1,1,12779,2.1986,1,1,1,0,0,0,0,0,0,0
53,-0.6202,1,1,-1,73027.1689,0.3155,1,-1,1,0,0,0,0,0,0,0
53,-0.5409,0,-1,1,393,1.1814,1,-1,1,0,0,0,0,0,0,0
52,1.512,0,-1,1,66294.5798,NA,0,1,NA,0,2,1,0,0,0,0
52,-0.5413,0,-1,1,39343,-0.306,1,-1,-1,1,0,0,1,0,0,0
50,-0.4608,0,-1,1,482113.2167,NA,0,-1,NA,0,3,1,0,0,0,1
50,1.5466,0,-1,1,94508.1241,1.7612,1,1,1,0,1,0,0,0,0,0
50,1.1161,0,1,-1,297658.8925,0.6739,1,1,1,0,1,0,0,0,0,0
50,1.6167,0,1,1,108899,2.3433,1,1,1,2,0,0,1,0,1,0
50,0.724,0,-1,-1,12271,0.8789,1,1,1,1,1,1,1,0,0,1
