"Democrat","Republican","NegativeAffect","PositiveAffect","MoralEmotional","retweet_count","favorite_count","has_URL","has_media","outgroup","outgroupidentity","outgroupcongress","outgrouptop","year"
0,0,0,0,0,106,533,TRUE,FALSE,,,,,2020
0,0,0,0,0,290,1832,TRUE,FALSE,,,,,2020
0,0,0,0,0,139,665,TRUE,FALSE,,,,,2020
0,0,0,0,0,198,625,TRUE,FALSE,,,,,2020
0,0,0,0,0,65,294,TRUE,FALSE,,,,,2020
0,0,0,0,0,165,570,TRUE,FALSE,,,,,2020
0,0,0,0,0,331,1666,TRUE,FALSE,,,,,2020
0,0,0,0,0,128,621,TRUE,FALSE,,,,,2020
0,0,0,0,0,173,961,TRUE,FALSE,,,,,2020
0,0,0,0,0,47,175,TRUE,FALSE,,,,,2020
0,0,0,0,0,173,1006,TRUE,FALSE,,,,,2020
0,0,0,0,0,136,900,TRUE,FALSE,,,,,2020
0,0,0,0,0,289,532,TRUE,FALSE,,,,,2020
0,0,0,0,0,108,397,TRUE,FALSE,,,,,2020
0,0,0,0,0,123,451,TRUE,FALSE,,,,,2020
0,0,0,0,0,224,1038,TRUE,FALSE,,,,,2020
0,0,0,0,0,101,471,TRUE,FALSE,,,,,2020
0,0,0,0,0,405,2791,TRUE,FALSE,,,,,2020
0,0,0,0,0,65,453,TRUE,FALSE,,,,,2020
0,0,0,0,0,189,1251,TRUE,FALSE,,,,,2020
0,0,0,0,0,102,596,TRUE,FALSE,,,,,2020
0,0,0,0,0,91,325,TRUE,FALSE,,,,,2020
0,0,0,0,0,230,1086,TRUE,FALSE,,,,,2020
0,0,0,0,0,79,287,TRUE,FALSE,,,,,2020
0,0,0,0,0,320,1574,TRUE,FALSE,,,,,2020
0,0,0,0,0,236,854,TRUE,FALSE,,,,,2020
0,0,0,0,0,44,256,TRUE,FALSE,,,,,2020
0,0,1,3,0,118,0,FALSE,FALSE,,,,,2020
0,0,0,0,0,107,351,TRUE,FALSE,,,,,2020
0,0,0,0,0,260,868,TRUE,FALSE,,,,,2020
0,0,0,0,0,196,1129,TRUE,FALSE,,,,,2020
0,0,0,0,0,157,621,TRUE,FALSE,,,,,2020
0,0,0,0,0,108,488,TRUE,FALSE,,,,,2020
0,0,0,0,0,69,406,TRUE,FALSE,,,,,2020
0,0,0,0,0,104,530,TRUE,FALSE,,,,,2020
0,0,0,0,0,106,506,TRUE,FALSE,,,,,2020
0,0,0,0,0,163,1121,TRUE,FALSE,,,,,2020
0,0,0,0,0,255,1669,TRUE,FALSE,,,,,2020
0,0,0,0,0,92,583,TRUE,FALSE,,,,,2020
0,0,0,0,0,153,1120,TRUE,FALSE,,,,,2020
0,0,0,0,0,178,517,TRUE,FALSE,,,,,2020
0,0,0,0,0,310,1047,TRUE,FALSE,,,,,2020
0,0,0,0,0,173,724,TRUE,FALSE,,,,,2020
0,0,0,0,0,207,1047,TRUE,FALSE,,,,,2020
0,0,0,0,0,155,928,TRUE,FALSE,,,,,2020
0,0,0,0,0,201,1106,TRUE,FALSE,,,,,2020
0,0,0,0,0,206,1434,TRUE,FALSE,,,,,2020
0,0,0,0,0,152,612,TRUE,FALSE,,,,,2020
0,0,0,0,0,525,2496,TRUE,FALSE,,,,,2020
0,0,0,0,0,233,819,TRUE,FALSE,,,,,2020
0,0,0,0,0,76,348,TRUE,FALSE,,,,,2020
0,0,0,0,0,229,1200,TRUE,FALSE,,,,,2020
0,0,0,0,0,227,1390,TRUE,FALSE,,,,,2020
0,0,0,0,0,74,406,TRUE,FALSE,,,,,2020
0,0,0,0,0,81,394,TRUE,FALSE,,,,,2020
0,0,0,0,0,339,1719,TRUE,FALSE,,,,,2020
0,0,0,0,0,97,589,TRUE,FALSE,,,,,2020
0,0,0,0,0,187,554,TRUE,FALSE,,,,,2020
0,0,0,0,0,478,1595,TRUE,FALSE,,,,,2020
0,0,0,0,0,142,501,TRUE,FALSE,,,,,2020
0,0,0,0,0,121,416,TRUE,FALSE,,,,,2020
0,0,0,0,0,170,886,TRUE,FALSE,,,,,2020
0,0,0,0,0,119,730,TRUE,FALSE,,,,,2020
0,0,0,0,0,344,968,TRUE,FALSE,,,,,2020
0,0,0,0,0,288,1561,TRUE,FALSE,,,,,2020
0,0,0,0,0,282,616,TRUE,FALSE,,,,,2020
0,0,0,0,0,381,1726,TRUE,FALSE,,,,,2020
0,0,0,0,0,136,293,TRUE,FALSE,,,,,2020
0,0,0,0,0,320,1474,TRUE,FALSE,,,,,2020
0,0,0,0,0,123,382,TRUE,FALSE,,,,,2020
0,0,0,0,0,286,635,TRUE,FALSE,,,,,2020
0,0,0,0,0,530,1970,TRUE,FALSE,,,,,2020
0,0,0,0,0,771,1656,TRUE,FALSE,,,,,2020
0,0,0,0,0,1457,3372,TRUE,FALSE,,,,,2020
0,0,0,0,0,167,1123,TRUE,FALSE,,,,,2020
0,0,0,0,0,228,544,TRUE,FALSE,,,,,2020
0,0,0,0,0,320,1154,TRUE,FALSE,,,,,2020
0,0,0,0,0,172,697,TRUE,FALSE,,,,,2020
0,0,0,0,0,544,2685,TRUE,FALSE,,,,,2020
0,0,0,0,0,141,497,TRUE,FALSE,,,,,2020
0,0,0,0,0,58,195,TRUE,FALSE,,,,,2020
0,0,0,0,0,73,273,TRUE,FALSE,,,,,2020
0,0,0,0,0,238,1663,TRUE,FALSE,,,,,2020
0,0,0,0,0,60,380,TRUE,FALSE,,,,,2020
0,0,0,0,0,86,405,TRUE,FALSE,,,,,2020
0,0,0,0,0,791,6374,TRUE,FALSE,,,,,2020
0,0,0,0,0,117,579,TRUE,FALSE,,,,,2020
0,0,0,0,0,775,3305,TRUE,FALSE,,,,,2020
0,0,0,0,0,98,432,TRUE,FALSE,,,,,2020
0,0,0,0,0,127,616,TRUE,FALSE,,,,,2020
0,0,0,0,0,87,327,TRUE,FALSE,,,,,2020
0,0,0,0,0,161,954,TRUE,FALSE,,,,,2020
